date,core_cpi,gdp_growth,unemp,vix,eff_rate,inst_index_value,ind_index_value
1990-01-01,132.767,2.82101,5.3,22.17,8.25,NA,NA
1990-04-01,134.5,2.4127,5.3,18.72,8.24,47.17,NA
1990-07-01,136.5,1.72736,5.7,25.2,8.16,NA,NA
1990-10-01,138.067,0.60306,6.1,26.11,7.74,56.25,NA
1991-01-01,140.067,-0.9502,6.6,22.52,6.43,NA,NA
1991-04-01,141.333,-0.53893,6.8,17.15,5.86,75.47,NA
1991-07-01,142.867,-0.10281,6.9,16.63,5.65,NA,NA
1991-10-01,144.2,1.1664,7.1,17.46,4.82,81.4,NA
1992-01-01,145.467,2.85894,7.4,17.56,4.02,NA,NA
1992-04-01,146.733,3.16984,7.6,15.62,3.77,75.68,NA
1992-07-01,147.867,3.66539,7.6,13.9,3.26,NA,NA
1992-10-01,149.2,4.38265,7.4,14.76,3.03,69.61,NA
1993-01-01,150.5,3.31991,7.1,13.26,3.04,NA,NA
1993-04-01,151.767,2.80667,7.1,12.97,3,56.9,NA
1993-07-01,152.667,2.28651,6.8,12.12,3.06,NA,NA
1993-10-01,153.867,2.60771,6.6,12.42,2.99,57.69,NA
1994-01-01,154.867,3.43071,6.6,13.44,3.21,NA,NA
1994-04-01,155.933,4.22561,6.2,14.51,3.94,65.05,NA
1994-07-01,157.1,4.33705,6,12.52,4.49,NA,NA
1994-10-01,158.1,4.11617,5.6,15.27,5.17,67.16,NA
1995-01-01,159.433,3.48141,5.5,11.99,5.8,NA,NA
1995-04-01,160.733,2.40238,5.7,12.19,6.02,67.12,NA
1995-07-01,161.8,2.67333,5.7,12.47,5.8,NA,NA
1995-10-01,162.933,2.19979,5.6,12.9,5.72,73.08,NA
1996-01-01,164.033,2.60131,5.5,15.4,5.37,NA,NA
1996-04-01,165,4.00238,5.5,16.37,5.24,65.52,NA
1996-07-01,166.067,4.05013,5.3,16.78,5.31,NA,NA
1996-10-01,167.133,4.42145,5.3,17.21,5.28,69.64,66.99
1997-01-01,168.1,4.31407,5.2,19.92,5.28,NA,NA
1997-04-01,169.167,4.31127,5,19.92,5.52,50.57,NA
1997-07-01,169.9,4.6747,4.9,22.45,5.53,NA,NA
1997-10-01,170.867,4.48355,4.7,27.09,5.51,83.93,NA
1998-01-01,171.9,4.85553,4.6,21.32,5.52,NA,NA
1998-04-01,172.867,4.09279,4.4,21.53,5.5,62.62,NA
1998-07-01,173.9,4.10345,4.5,29.75,5.53,NA,NA
1998-10-01,174.867,4.88313,4.4,29.54,4.86,77.01,NA
1999-01-01,175.633,4.81634,4.3,27.25,4.73,NA,NA
1999-04-01,176.467,4.72189,4.3,24.4,4.75,54.74,75.59
1999-07-01,177.4,4.79112,4.2,23.32,5.1,NA,NA
1999-10-01,178.4,4.82357,4.1,22.66,5.3,66.67,77.14
2000-01-01,179.567,4.22474,4,23.15,5.68,NA,NA
2000-04-01,180.7,5.24446,3.9,24.92,6.27,56.82,76.34
2000-07-01,181.9,3.97317,4,19.17,6.52,NA,NA
2000-10-01,183,2.90559,3.9,26.02,6.47,74.07,75.61
2001-01-01,184.333,2.19751,4.2,25.73,5.6,NA,NA
2001-04-01,185.467,0.9963,4.4,23.92,4.33,85.71,89.55
2001-07-01,186.733,0.48924,4.8,25.38,3.5,76.25,90.14
2001-10-01,187.967,0.16732,5.5,27.91,2.13,78.57,92.5
2002-01-01,189,1.33726,5.7,21.36,1.73,78.95,88.49
2002-04-01,189.967,1.32538,5.8,21.64,1.75,80,88.78
2002-07-01,190.967,2.14652,5.7,35.07,1.74,84.15,87.5
2002-10-01,191.833,1.99252,5.9,30.73,1.44,80.25,85.5
2003-01-01,192.467,1.67926,5.9,30.02,1.25,82.8,90.48
2003-04-01,192.8,1.95507,6.1,21.53,1.25,85.71,91.03
2003-07-01,193.567,3.23114,6.1,19.32,1.02,87.5,88.89
2003-10-01,194.067,4.30044,5.8,17.43,1,90.83,92.99
2004-01-01,195,4.34195,5.7,16.66,1,90.1,95.62
2004-04-01,196.233,4.22749,5.6,16.21,1.01,81.11,87.32
2004-07-01,197.067,3.49486,5.4,15.44,1.43,74.34,83.87
2004-10-01,198.267,3.3511,5.4,13.65,1.95,72.94,87.18
2005-01-01,199.5,3.90884,5.3,12.79,2.47,82.19,87.8
2005-04-01,200.433,3.61774,5.1,13.41,2.94,79.49,86.27
2005-07-01,201.1,3.4486,5,12.25,3.46,75.57,84.25
2005-10-01,202.433,2.97274,5,12.78,3.98,72.57,80.51
2006-01-01,203.7,3.21311,4.7,12.04,4.45,78.57,82.73
2006-04-01,205.367,2.9729,4.6,14.53,4.91,92,83.93
2006-07-01,206.767,2.32528,4.6,13.61,5.25,87.18,82.52
2006-10-01,207.833,2.63456,4.4,11.03,5.24,73.74,85.22
2007-01-01,209.051,1.57672,4.5,12.56,5.25,74.51,85.38
2007-04-01,210.066,1.93437,4.5,13.73,5.25,81.18,80
2007-07-01,211.149,2.36804,4.7,21.59,5.07,76.92,79.27
2007-10-01,212.635,2.13336,4.8,22.03,4.5,76.95,79.41
2008-01-01,214.043,1.39247,5,26.12,3.18,80.37,72.33
2008-04-01,214.973,1.37601,5.3,20.67,2.08,81.29,70.75
2008-07-01,216.357,0.26597,6,25.07,1.94,79.28,75.18
