date,series_id,value,realtime_start,realtime_end
1990-01-01,CPILFESL,132.767,2024-12-02,2024-12-02
1990-04-01,CPILFESL,134.5,2024-12-02,2024-12-02
1990-07-01,CPILFESL,136.5,2024-12-02,2024-12-02
1990-10-01,CPILFESL,138.067,2024-12-02,2024-12-02
1991-01-01,CPILFESL,140.067,2024-12-02,2024-12-02
1991-04-01,CPILFESL,141.333,2024-12-02,2024-12-02
1991-07-01,CPILFESL,142.867,2024-12-02,2024-12-02
1991-10-01,CPILFESL,144.2,2024-12-02,2024-12-02
1992-01-01,CPILFESL,145.467,2024-12-02,2024-12-02
1992-04-01,CPILFESL,146.733,2024-12-02,2024-12-02
1992-07-01,CPILFESL,147.867,2024-12-02,2024-12-02
1992-10-01,CPILFESL,149.2,2024-12-02,2024-12-02
1993-01-01,CPILFESL,150.5,2024-12-02,2024-12-02
1993-04-01,CPILFESL,151.767,2024-12-02,2024-12-02
1993-07-01,CPILFESL,152.667,2024-12-02,2024-12-02
1993-10-01,CPILFESL,153.867,2024-12-02,2024-12-02
1994-01-01,CPILFESL,154.867,2024-12-02,2024-12-02
1994-04-01,CPILFESL,155.933,2024-12-02,2024-12-02
1994-07-01,CPILFESL,157.1,2024-12-02,2024-12-02
1994-10-01,CPILFESL,158.1,2024-12-02,2024-12-02
1995-01-01,CPILFESL,159.433,2024-12-02,2024-12-02
1995-04-01,CPILFESL,160.733,2024-12-02,2024-12-02
1995-07-01,CPILFESL,161.8,2024-12-02,2024-12-02
1995-10-01,CPILFESL,162.933,2024-12-02,2024-12-02
1996-01-01,CPILFESL,164.033,2024-12-02,2024-12-02
1996-04-01,CPILFESL,165,2024-12-02,2024-12-02
1996-07-01,CPILFESL,166.067,2024-12-02,2024-12-02
1996-10-01,CPILFESL,167.133,2024-12-02,2024-12-02
1997-01-01,CPILFESL,168.1,2024-12-02,2024-12-02
1997-04-01,CPILFESL,169.167,2024-12-02,2024-12-02
1997-07-01,CPILFESL,169.9,2024-12-02,2024-12-02
1997-10-01,CPILFESL,170.867,2024-12-02,2024-12-02
1998-01-01,CPILFESL,171.9,2024-12-02,2024-12-02
1998-04-01,CPILFESL,172.867,2024-12-02,2024-12-02
1998-07-01,CPILFESL,173.9,2024-12-02,2024-12-02
1998-10-01,CPILFESL,174.867,2024-12-02,2024-12-02
1999-01-01,CPILFESL,175.633,2024-12-02,2024-12-02
1999-04-01,CPILFESL,176.467,2024-12-02,2024-12-02
1999-07-01,CPILFESL,177.4,2024-12-02,2024-12-02
1999-10-01,CPILFESL,178.4,2024-12-02,2024-12-02
2000-01-01,CPILFESL,179.567,2024-12-02,2024-12-02
2000-04-01,CPILFESL,180.7,2024-12-02,2024-12-02
2000-07-01,CPILFESL,181.9,2024-12-02,2024-12-02
2000-10-01,CPILFESL,183,2024-12-02,2024-12-02
2001-01-01,CPILFESL,184.333,2024-12-02,2024-12-02
2001-04-01,CPILFESL,185.467,2024-12-02,2024-12-02
2001-07-01,CPILFESL,186.733,2024-12-02,2024-12-02
2001-10-01,CPILFESL,187.967,2024-12-02,2024-12-02
2002-01-01,CPILFESL,189,2024-12-02,2024-12-02
2002-04-01,CPILFESL,189.967,2024-12-02,2024-12-02
2002-07-01,CPILFESL,190.967,2024-12-02,2024-12-02
2002-10-01,CPILFESL,191.833,2024-12-02,2024-12-02
2003-01-01,CPILFESL,192.467,2024-12-02,2024-12-02
2003-04-01,CPILFESL,192.8,2024-12-02,2024-12-02
2003-07-01,CPILFESL,193.567,2024-12-02,2024-12-02
2003-10-01,CPILFESL,194.067,2024-12-02,2024-12-02
2004-01-01,CPILFESL,195,2024-12-02,2024-12-02
2004-04-01,CPILFESL,196.233,2024-12-02,2024-12-02
2004-07-01,CPILFESL,197.067,2024-12-02,2024-12-02
2004-10-01,CPILFESL,198.267,2024-12-02,2024-12-02
2005-01-01,CPILFESL,199.5,2024-12-02,2024-12-02
2005-04-01,CPILFESL,200.433,2024-12-02,2024-12-02
2005-07-01,CPILFESL,201.1,2024-12-02,2024-12-02
2005-10-01,CPILFESL,202.433,2024-12-02,2024-12-02
2006-01-01,CPILFESL,203.7,2024-12-02,2024-12-02
2006-04-01,CPILFESL,205.367,2024-12-02,2024-12-02
2006-07-01,CPILFESL,206.767,2024-12-02,2024-12-02
2006-10-01,CPILFESL,207.833,2024-12-02,2024-12-02
2007-01-01,CPILFESL,209.051,2024-12-02,2024-12-02
2007-04-01,CPILFESL,210.066,2024-12-02,2024-12-02
2007-07-01,CPILFESL,211.149,2024-12-02,2024-12-02
2007-10-01,CPILFESL,212.635,2024-12-02,2024-12-02
2008-01-01,CPILFESL,214.043,2024-12-02,2024-12-02
2008-04-01,CPILFESL,214.973,2024-12-02,2024-12-02
2008-07-01,CPILFESL,216.357,2024-12-02,2024-12-02
2008-10-01,CPILFESL,216.887,2024-12-02,2024-12-02
2009-01-01,CPILFESL,217.797,2024-12-02,2024-12-02
2009-04-01,CPILFESL,218.907,2024-12-02,2024-12-02
2009-07-01,CPILFESL,219.56,2024-12-02,2024-12-02
2009-10-01,CPILFESL,220.683,2024-12-02,2024-12-02
2010-01-01,CPILFESL,220.716,2024-12-02,2024-12-02
2010-04-01,CPILFESL,220.993,2024-12-02,2024-12-02
2010-07-01,CPILFESL,221.528,2024-12-02,2024-12-02
