date,series_id,value,realtime_start,realtime_end
1990-01-01,DFF,8.25,2024-12-02,2024-12-02
1990-04-01,DFF,8.24,2024-12-02,2024-12-02
1990-07-01,DFF,8.16,2024-12-02,2024-12-02
1990-10-01,DFF,7.74,2024-12-02,2024-12-02
1991-01-01,DFF,6.43,2024-12-02,2024-12-02
1991-04-01,DFF,5.86,2024-12-02,2024-12-02
1991-07-01,DFF,5.65,2024-12-02,2024-12-02
1991-10-01,DFF,4.82,2024-12-02,2024-12-02
1992-01-01,DFF,4.02,2024-12-02,2024-12-02
1992-04-01,DFF,3.77,2024-12-02,2024-12-02
1992-07-01,DFF,3.26,2024-12-02,2024-12-02
1992-10-01,DFF,3.03,2024-12-02,2024-12-02
1993-01-01,DFF,3.04,2024-12-02,2024-12-02
1993-04-01,DFF,3,2024-12-02,2024-12-02
1993-07-01,DFF,3.06,2024-12-02,2024-12-02
1993-10-01,DFF,2.99,2024-12-02,2024-12-02
1994-01-01,DFF,3.21,2024-12-02,2024-12-02
1994-04-01,DFF,3.94,2024-12-02,2024-12-02
1994-07-01,DFF,4.49,2024-12-02,2024-12-02
1994-10-01,DFF,5.17,2024-12-02,2024-12-02
1995-01-01,DFF,5.8,2024-12-02,2024-12-02
1995-04-01,DFF,6.02,2024-12-02,2024-12-02
1995-07-01,DFF,5.8,2024-12-02,2024-12-02
1995-10-01,DFF,5.72,2024-12-02,2024-12-02
1996-01-01,DFF,5.37,2024-12-02,2024-12-02
1996-04-01,DFF,5.24,2024-12-02,2024-12-02
1996-07-01,DFF,5.31,2024-12-02,2024-12-02
1996-10-01,DFF,5.28,2024-12-02,2024-12-02
1997-01-01,DFF,5.28,2024-12-02,2024-12-02
1997-04-01,DFF,5.52,2024-12-02,2024-12-02
1997-07-01,DFF,5.53,2024-12-02,2024-12-02
1997-10-01,DFF,5.51,2024-12-02,2024-12-02
1998-01-01,DFF,5.52,2024-12-02,2024-12-02
1998-04-01,DFF,5.5,2024-12-02,2024-12-02
1998-07-01,DFF,5.53,2024-12-02,2024-12-02
1998-10-01,DFF,4.86,2024-12-02,2024-12-02
1999-01-01,DFF,4.73,2024-12-02,2024-12-02
1999-04-01,DFF,4.75,2024-12-02,2024-12-02
1999-07-01,DFF,5.1,2024-12-02,2024-12-02
1999-10-01,DFF,5.3,2024-12-02,2024-12-02
2000-01-01,DFF,5.68,2024-12-02,2024-12-02
2000-04-01,DFF,6.27,2024-12-02,2024-12-02
2000-07-01,DFF,6.52,2024-12-02,2024-12-02
2000-10-01,DFF,6.47,2024-12-02,2024-12-02
2001-01-01,DFF,5.6,2024-12-02,2024-12-02
2001-04-01,DFF,4.33,2024-12-02,2024-12-02
2001-07-01,DFF,3.5,2024-12-02,2024-12-02
2001-10-01,DFF,2.13,2024-12-02,2024-12-02
2002-01-01,DFF,1.73,2024-12-02,2024-12-02
2002-04-01,DFF,1.75,2024-12-02,2024-12-02
2002-07-01,DFF,1.74,2024-12-02,2024-12-02
2002-10-01,DFF,1.44,2024-12-02,2024-12-02
2003-01-01,DFF,1.25,2024-12-02,2024-12-02
2003-04-01,DFF,1.25,2024-12-02,2024-12-02
2003-07-01,DFF,1.02,2024-12-02,2024-12-02
2003-10-01,DFF,1,2024-12-02,2024-12-02
2004-01-01,DFF,1,2024-12-02,2024-12-02
2004-04-01,DFF,1.01,2024-12-02,2024-12-02
2004-07-01,DFF,1.43,2024-12-02,2024-12-02
2004-10-01,DFF,1.95,2024-12-02,2024-12-02
2005-01-01,DFF,2.47,2024-12-02,2024-12-02
2005-04-01,DFF,2.94,2024-12-02,2024-12-02
2005-07-01,DFF,3.46,2024-12-02,2024-12-02
2005-10-01,DFF,3.98,2024-12-02,2024-12-02
2006-01-01,DFF,4.45,2024-12-02,2024-12-02
2006-04-01,DFF,4.91,2024-12-02,2024-12-02
2006-07-01,DFF,5.25,2024-12-02,2024-12-02
2006-10-01,DFF,5.24,2024-12-02,2024-12-02
2007-01-01,DFF,5.25,2024-12-02,2024-12-02
2007-04-01,DFF,5.25,2024-12-02,2024-12-02
2007-07-01,DFF,5.07,2024-12-02,2024-12-02
2007-10-01,DFF,4.5,2024-12-02,2024-12-02
2008-01-01,DFF,3.18,2024-12-02,2024-12-02
2008-04-01,DFF,2.08,2024-12-02,2024-12-02
2008-07-01,DFF,1.94,2024-12-02,2024-12-02
2008-10-01,DFF,0.51,2024-12-02,2024-12-02
2009-01-01,DFF,0.18,2024-12-02,2024-12-02
2009-04-01,DFF,0.18,2024-12-02,2024-12-02
2009-07-01,DFF,0.15,2024-12-02,2024-12-02
2009-10-01,DFF,0.12,2024-12-02,2024-12-02
2010-01-01,DFF,0.13,2024-12-02,2024-12-02
2010-04-01,DFF,0.19,2024-12-02,2024-12-02
2010-07-01,DFF,0.19,2024-12-02,2024-12-02
2010-10-01,DFF,0.19,2024-12-02,2024-12-02
2011-01-01,DFF,0.15,2024-12-02,2024-12-02
2011-04-01,DFF,0.09,2024-12-02,2024-12-02
2011-07-01,DFF,0.08,2024-12-02,2024-12-02
2011-10-01,DFF,0.07,2024-12-02,2024-12-02
2012-01-01,DFF,0.1,2024-12-02,2024-12-02
2012-04-01,DFF,0.15,2024-12-02,2024-12-02
2012-07-01,DFF,0.14,2024-12-02,2024-12-02
2012-10-01,DFF,0.16,2024-12-02,2024-12-02
2013-01-01,DFF,0.14,2024-12-02,2024-12-02
2013-04-01,DFF,0.12,2024-12-02,2024-12-02
2013-07-01,DFF,0.09,2024-12-02,2024-12-02
2013-10-01,DFF,0.09,2024-12-02,2024-12-02
2014-01-01,DFF,0.07,2024-12-02,2024-12-02
2014-04-01,DFF,0.09,2024-12-02,2024-12-02
2014-07-01,DFF,0.09,2024-12-02,2024-12-02
2014-10-01,DFF,0.1,2024-12-02,2024-12-02
2015-01-01,DFF,0.11,2024-12-02,2024-12-02
2015-04-01,DFF,0.13,2024-12-02,2024-12-02
2015-07-01,DFF,0.13,2024-12-02,2024-12-02
2015-10-01,DFF,0.16,2024-12-02,2024-12-02
2016-01-01,DFF,0.36,2024-12-02,2024-12-02
2016-04-01,DFF,0.37,2024-12-02,2024-12-02
2016-07-01,DFF,0.39,2024-12-02,2024-12-02
2016-10-01,DFF,0.45,2024-12-02,2024-12-02
2017-01-01,DFF,0.7,2024-12-02,2024-12-02
2017-04-01,DFF,0.95,2024-12-02,2024-12-02
2017-07-01,DFF,1.15,2024-12-02,2024-12-02
2017-10-01,DFF,1.2,2024-12-02,2024-12-02
2018-01-01,DFF,1.45,2024-12-02,2024-12-02
2018-04-01,DFF,1.74,2024-12-02,2024-12-02
2018-07-01,DFF,1.93,2024-12-02,2024-12-02
2018-10-01,DFF,2.22,2024-12-02,2024-12-02
2019-01-01,DFF,2.4,2024-12-02,2024-12-02
2019-04-01,DFF,2.4,2024-12-02,2024-12-02
2019-07-01,DFF,2.19,2024-12-02,2024-12-02
2019-10-01,DFF,1.65,2024-12-02,2024-12-02
2020-01-01,DFF,1.25,2024-12-02,2024-12-02
2020-04-01,DFF,0.06,2024-12-02,2024-12-02
2020-07-01,DFF,0.09,2024-12-02,2024-12-02
2020-10-01,DFF,0.09,2024-12-02,2024-12-02
2021-01-01,DFF,0.08,2024-12-02,2024-12-02
2021-04-01,DFF,0.07,2024-12-02,2024-12-02
2021-07-01,DFF,0.09,2024-12-02,2024-12-02
2021-10-01,DFF,0.08,2024-12-02,2024-12-02
2022-01-01,DFF,0.12,2024-12-02,2024-12-02
2022-04-01,DFF,0.77,2024-12-02,2024-12-02
2022-07-01,DFF,2.18,2024-12-02,2024-12-02
2022-10-01,DFF,3.65,2024-12-02,2024-12-02
2023-01-01,DFF,4.51,2024-12-02,2024-12-02
2023-04-01,DFF,4.99,2024-12-02,2024-12-02
2023-07-01,DFF,5.26,2024-12-02,2024-12-02
2023-10-01,DFF,5.33,2024-12-02,2024-12-02
2024-01-01,DFF,5.33,2024-12-02,2024-12-02
