date,series_id,value,realtime_start,realtime_end
1990-01-01,GDPC1,2.82101,2024-12-02,2024-12-02
1990-04-01,GDPC1,2.4127,2024-12-02,2024-12-02
1990-07-01,GDPC1,1.72736,2024-12-02,2024-12-02
1990-10-01,GDPC1,0.60306,2024-12-02,2024-12-02
1991-01-01,GDPC1,-0.9502,2024-12-02,2024-12-02
1991-04-01,GDPC1,-0.53893,2024-12-02,2024-12-02
1991-07-01,GDPC1,-0.10281,2024-12-02,2024-12-02
1991-10-01,GDPC1,1.1664,2024-12-02,2024-12-02
1992-01-01,GDPC1,2.85894,2024-12-02,2024-12-02
1992-04-01,GDPC1,3.16984,2024-12-02,2024-12-02
1992-07-01,GDPC1,3.66539,2024-12-02,2024-12-02
1992-10-01,GDPC1,4.38265,2024-12-02,2024-12-02
1993-01-01,GDPC1,3.31991,2024-12-02,2024-12-02
1993-04-01,GDPC1,2.80667,2024-12-02,2024-12-02
1993-07-01,GDPC1,2.28651,2024-12-02,2024-12-02
1993-10-01,GDPC1,2.60771,2024-12-02,2024-12-02
1994-01-01,GDPC1,3.43071,2024-12-02,2024-12-02
1994-04-01,GDPC1,4.22561,2024-12-02,2024-12-02
1994-07-01,GDPC1,4.33705,2024-12-02,2024-12-02
1994-10-01,GDPC1,4.11617,2024-12-02,2024-12-02
1995-01-01,GDPC1,3.48141,2024-12-02,2024-12-02
1995-04-01,GDPC1,2.40238,2024-12-02,2024-12-02
1995-07-01,GDPC1,2.67333,2024-12-02,2024-12-02
1995-10-01,GDPC1,2.19979,2024-12-02,2024-12-02
1996-01-01,GDPC1,2.60131,2024-12-02,2024-12-02
1996-04-01,GDPC1,4.00238,2024-12-02,2024-12-02
1996-07-01,GDPC1,4.05013,2024-12-02,2024-12-02
1996-10-01,GDPC1,4.42145,2024-12-02,2024-12-02
1997-01-01,GDPC1,4.31407,2024-12-02,2024-12-02
1997-04-01,GDPC1,4.31127,2024-12-02,2024-12-02
1997-07-01,GDPC1,4.6747,2024-12-02,2024-12-02
1997-10-01,GDPC1,4.48355,2024-12-02,2024-12-02
1998-01-01,GDPC1,4.85553,2024-12-02,2024-12-02
1998-04-01,GDPC1,4.09279,2024-12-02,2024-12-02
1998-07-01,GDPC1,4.10345,2024-12-02,2024-12-02
1998-10-01,GDPC1,4.88313,2024-12-02,2024-12-02
1999-01-01,GDPC1,4.81634,2024-12-02,2024-12-02
1999-04-01,GDPC1,4.72189,2024-12-02,2024-12-02
1999-07-01,GDPC1,4.79112,2024-12-02,2024-12-02
1999-10-01,GDPC1,4.82357,2024-12-02,2024-12-02
2000-01-01,GDPC1,4.22474,2024-12-02,2024-12-02
2000-04-01,GDPC1,5.24446,2024-12-02,2024-12-02
2000-07-01,GDPC1,3.97317,2024-12-02,2024-12-02
2000-10-01,GDPC1,2.90559,2024-12-02,2024-12-02
2001-01-01,GDPC1,2.19751,2024-12-02,2024-12-02
2001-04-01,GDPC1,0.9963,2024-12-02,2024-12-02
2001-07-01,GDPC1,0.48924,2024-12-02,2024-12-02
2001-10-01,GDPC1,0.16732,2024-12-02,2024-12-02
2002-01-01,GDPC1,1.33726,2024-12-02,2024-12-02
2002-04-01,GDPC1,1.32538,2024-12-02,2024-12-02
2002-07-01,GDPC1,2.14652,2024-12-02,2024-12-02
2002-10-01,GDPC1,1.99252,2024-12-02,2024-12-02
2003-01-01,GDPC1,1.67926,2024-12-02,2024-12-02
2003-04-01,GDPC1,1.95507,2024-12-02,2024-12-02
2003-07-01,GDPC1,3.23114,2024-12-02,2024-12-02
2003-10-01,GDPC1,4.30044,2024-12-02,2024-12-02
2004-01-01,GDPC1,4.34195,2024-12-02,2024-12-02
2004-04-01,GDPC1,4.22749,2024-12-02,2024-12-02
2004-07-01,GDPC1,3.49486,2024-12-02,2024-12-02
2004-10-01,GDPC1,3.3511,2024-12-02,2024-12-02
2005-01-01,GDPC1,3.90884,2024-12-02,2024-12-02
2005-04-01,GDPC1,3.61774,2024-12-02,2024-12-02
2005-07-01,GDPC1,3.4486,2024-12-02,2024-12-02
2005-10-01,GDPC1,2.97274,2024-12-02,2024-12-02
2006-01-01,GDPC1,3.21311,2024-12-02,2024-12-02
2006-04-01,GDPC1,2.9729,2024-12-02,2024-12-02
2006-07-01,GDPC1,2.32528,2024-12-02,2024-12-02
2006-10-01,GDPC1,2.63456,2024-12-02,2024-12-02
2007-01-01,GDPC1,1.57672,2024-12-02,2024-12-02
2007-04-01,GDPC1,1.93437,2024-12-02,2024-12-02
2007-07-01,GDPC1,2.36804,2024-12-02,2024-12-02
2007-10-01,GDPC1,2.13336,2024-12-02,2024-12-02
2008-01-01,GDPC1,1.39247,2024-12-02,2024-12-02
