date,series_id,value,realtime_start,realtime_end
1990-01-01,UNRATE,5.3,2024-12-02,2024-12-02
1990-04-01,UNRATE,5.3,2024-12-02,2024-12-02
1990-07-01,UNRATE,5.7,2024-12-02,2024-12-02
1990-10-01,UNRATE,6.1,2024-12-02,2024-12-02
1991-01-01,UNRATE,6.6,2024-12-02,2024-12-02
1991-04-01,UNRATE,6.8,2024-12-02,2024-12-02
1991-07-01,UNRATE,6.9,2024-12-02,2024-12-02
1991-10-01,UNRATE,7.1,2024-12-02,2024-12-02
1992-01-01,UNRATE,7.4,2024-12-02,2024-12-02
1992-04-01,UNRATE,7.6,2024-12-02,2024-12-02
1992-07-01,UNRATE,7.6,2024-12-02,2024-12-02
1992-10-01,UNRATE,7.4,2024-12-02,2024-12-02
1993-01-01,UNRATE,7.1,2024-12-02,2024-12-02
1993-04-01,UNRATE,7.1,2024-12-02,2024-12-02
1993-07-01,UNRATE,6.8,2024-12-02,2024-12-02
1993-10-01,UNRATE,6.6,2024-12-02,2024-12-02
1994-01-01,UNRATE,6.6,2024-12-02,2024-12-02
1994-04-01,UNRATE,6.2,2024-12-02,2024-12-02
1994-07-01,UNRATE,6,2024-12-02,2024-12-02
1994-10-01,UNRATE,5.6,2024-12-02,2024-12-02
1995-01-01,UNRATE,5.5,2024-12-02,2024-12-02
1995-04-01,UNRATE,5.7,2024-12-02,2024-12-02
1995-07-01,UNRATE,5.7,2024-12-02,2024-12-02
1995-10-01,UNRATE,5.6,2024-12-02,2024-12-02
1996-01-01,UNRATE,5.5,2024-12-02,2024-12-02
1996-04-01,UNRATE,5.5,2024-12-02,2024-12-02
1996-07-01,UNRATE,5.3,2024-12-02,2024-12-02
1996-10-01,UNRATE,5.3,2024-12-02,2024-12-02
1997-01-01,UNRATE,5.2,2024-12-02,2024-12-02
1997-04-01,UNRATE,5,2024-12-02,2024-12-02
1997-07-01,UNRATE,4.9,2024-12-02,2024-12-02
1997-10-01,UNRATE,4.7,2024-12-02,2024-12-02
1998-01-01,UNRATE,4.6,2024-12-02,2024-12-02
1998-04-01,UNRATE,4.4,2024-12-02,2024-12-02
1998-07-01,UNRATE,4.5,2024-12-02,2024-12-02
1998-10-01,UNRATE,4.4,2024-12-02,2024-12-02
1999-01-01,UNRATE,4.3,2024-12-02,2024-12-02
1999-04-01,UNRATE,4.3,2024-12-02,2024-12-02
1999-07-01,UNRATE,4.2,2024-12-02,2024-12-02
1999-10-01,UNRATE,4.1,2024-12-02,2024-12-02
2000-01-01,UNRATE,4,2024-12-02,2024-12-02
2000-04-01,UNRATE,3.9,2024-12-02,2024-12-02
2000-07-01,UNRATE,4,2024-12-02,2024-12-02
2000-10-01,UNRATE,3.9,2024-12-02,2024-12-02
2001-01-01,UNRATE,4.2,2024-12-02,2024-12-02
2001-04-01,UNRATE,4.4,2024-12-02,2024-12-02
2001-07-01,UNRATE,4.8,2024-12-02,2024-12-02
2001-10-01,UNRATE,5.5,2024-12-02,2024-12-02
2002-01-01,UNRATE,5.7,2024-12-02,2024-12-02
2002-04-01,UNRATE,5.8,2024-12-02,2024-12-02
2002-07-01,UNRATE,5.7,2024-12-02,2024-12-02
2002-10-01,UNRATE,5.9,2024-12-02,2024-12-02
2003-01-01,UNRATE,5.9,2024-12-02,2024-12-02
2003-04-01,UNRATE,6.1,2024-12-02,2024-12-02
2003-07-01,UNRATE,6.1,2024-12-02,2024-12-02
2003-10-01,UNRATE,5.8,2024-12-02,2024-12-02
2004-01-01,UNRATE,5.7,2024-12-02,2024-12-02
2004-04-01,UNRATE,5.6,2024-12-02,2024-12-02
2004-07-01,UNRATE,5.4,2024-12-02,2024-12-02
2004-10-01,UNRATE,5.4,2024-12-02,2024-12-02
2005-01-01,UNRATE,5.3,2024-12-02,2024-12-02
2005-04-01,UNRATE,5.1,2024-12-02,2024-12-02
2005-07-01,UNRATE,5,2024-12-02,2024-12-02
2005-10-01,UNRATE,5,2024-12-02,2024-12-02
2006-01-01,UNRATE,4.7,2024-12-02,2024-12-02
2006-04-01,UNRATE,4.6,2024-12-02,2024-12-02
2006-07-01,UNRATE,4.6,2024-12-02,2024-12-02
2006-10-01,UNRATE,4.4,2024-12-02,2024-12-02
2007-01-01,UNRATE,4.5,2024-12-02,2024-12-02
2007-04-01,UNRATE,4.5,2024-12-02,2024-12-02
2007-07-01,UNRATE,4.7,2024-12-02,2024-12-02
2007-10-01,UNRATE,4.8,2024-12-02,2024-12-02
2008-01-01,UNRATE,5,2024-12-02,2024-12-02
2008-04-01,UNRATE,5.3,2024-12-02,2024-12-02
2008-07-01,UNRATE,6,2024-12-02,2024-12-02
2008-10-01,UNRATE,6.9,2024-12-02,2024-12-02
2009-01-01,UNRATE,8.3,2024-12-02,2024-12-02
2009-04-01,UNRATE,9.3,2024-12-02,2024-12-02
2009-07-01,UNRATE,9.6,2024-12-02,2024-12-02
2009-10-01,UNRATE,9.9,2024-12-02,2024-12-02
2010-01-01,UNRATE,9.8,2024-12-02,2024-12-02
2010-04-01,UNRATE,9.6,2024-12-02,2024-12-02
2010-07-01,UNRATE,9.5,2024-12-02,2024-12-02
2010-10-01,UNRATE,9.5,2024-12-02,2024-12-02
2011-01-01,UNRATE,9,2024-12-02,2024-12-02
2011-04-01,UNRATE,9.1,2024-12-02,2024-12-02
2011-07-01,UNRATE,9,2024-12-02,2024-12-02
2011-10-01,UNRATE,8.6,2024-12-02,2024-12-02
2012-01-01,UNRATE,8.3,2024-12-02,2024-12-02
2012-04-01,UNRATE,8.2,2024-12-02,2024-12-02
2012-07-01,UNRATE,8,2024-12-02,2024-12-02
2012-10-01,UNRATE,7.8,2024-12-02,2024-12-02
2013-01-01,UNRATE,7.7,2024-12-02,2024-12-02
2013-04-01,UNRATE,7.5,2024-12-02,2024-12-02
2013-07-01,UNRATE,7.2,2024-12-02,2024-12-02
2013-10-01,UNRATE,6.9,2024-12-02,2024-12-02
2014-01-01,UNRATE,6.7,2024-12-02,2024-12-02
2014-04-01,UNRATE,6.2,2024-12-02,2024-12-02
2014-07-01,UNRATE,6.1,2024-12-02,2024-12-02
2014-10-01,UNRATE,5.7,2024-12-02,2024-12-02
2015-01-01,UNRATE,5.5,2024-12-02,2024-12-02
2015-04-01,UNRATE,5.4,2024-12-02,2024-12-02
2015-07-01,UNRATE,5.1,2024-12-02,2024-12-02
2015-10-01,UNRATE,5,2024-12-02,2024-12-02
2016-01-01,UNRATE,4.9,2024-12-02,2024-12-02
2016-04-01,UNRATE,4.9,2024-12-02,2024-12-02
2016-07-01,UNRATE,4.9,2024-12-02,2024-12-02
2016-10-01,UNRATE,4.8,2024-12-02,2024-12-02
2017-01-01,UNRATE,4.6,2024-12-02,2024-12-02
2017-04-01,UNRATE,4.4,2024-12-02,2024-12-02
2017-07-01,UNRATE,4.3,2024-12-02,2024-12-02
2017-10-01,UNRATE,4.2,2024-12-02,2024-12-02
2018-01-01,UNRATE,4,2024-12-02,2024-12-02
2018-04-01,UNRATE,3.9,2024-12-02,2024-12-02
2018-07-01,UNRATE,3.8,2024-12-02,2024-12-02
2018-10-01,UNRATE,3.8,2024-12-02,2024-12-02
2019-01-01,UNRATE,3.9,2024-12-02,2024-12-02
2019-04-01,UNRATE,3.6,2024-12-02,2024-12-02
2019-07-01,UNRATE,3.6,2024-12-02,2024-12-02
2019-10-01,UNRATE,3.6,2024-12-02,2024-12-02
2020-01-01,UNRATE,3.8,2024-12-02,2024-12-02
2020-04-01,UNRATE,13,2024-12-02,2024-12-02
2020-07-01,UNRATE,8.8,2024-12-02,2024-12-02
2020-10-01,UNRATE,6.7,2024-12-02,2024-12-02
2021-01-01,UNRATE,6.2,2024-12-02,2024-12-02
2021-04-01,UNRATE,5.9,2024-12-02,2024-12-02
2021-07-01,UNRATE,5.1,2024-12-02,2024-12-02
2021-10-01,UNRATE,4.2,2024-12-02,2024-12-02
2022-01-01,UNRATE,3.8,2024-12-02,2024-12-02
2022-04-01,UNRATE,3.6,2024-12-02,2024-12-02
2022-07-01,UNRATE,3.5,2024-12-02,2024-12-02
2022-10-01,UNRATE,3.6,2024-12-02,2024-12-02
2023-01-01,UNRATE,3.5,2024-12-02,2024-12-02
2023-04-01,UNRATE,3.6,2024-12-02,2024-12-02
2023-07-01,UNRATE,3.7,2024-12-02,2024-12-02
2023-10-01,UNRATE,3.7,2024-12-02,2024-12-02
2024-01-01,UNRATE,3.8,2024-12-02,2024-12-02
