date,series_id,value,realtime_start,realtime_end
1990-01-01,VIXCLS,22.17,2024-12-03,2024-12-03
1990-04-01,VIXCLS,18.72,2024-12-03,2024-12-03
1990-07-01,VIXCLS,25.2,2024-12-03,2024-12-03
1990-10-01,VIXCLS,26.11,2024-12-03,2024-12-03
1991-01-01,VIXCLS,22.52,2024-12-03,2024-12-03
1991-04-01,VIXCLS,17.15,2024-12-03,2024-12-03
1991-07-01,VIXCLS,16.63,2024-12-03,2024-12-03
1991-10-01,VIXCLS,17.46,2024-12-03,2024-12-03
1992-01-01,VIXCLS,17.56,2024-12-03,2024-12-03
1992-04-01,VIXCLS,15.62,2024-12-03,2024-12-03
1992-07-01,VIXCLS,13.9,2024-12-03,2024-12-03
1992-10-01,VIXCLS,14.76,2024-12-03,2024-12-03
1993-01-01,VIXCLS,13.26,2024-12-03,2024-12-03
1993-04-01,VIXCLS,12.97,2024-12-03,2024-12-03
1993-07-01,VIXCLS,12.12,2024-12-03,2024-12-03
1993-10-01,VIXCLS,12.42,2024-12-03,2024-12-03
1994-01-01,VIXCLS,13.44,2024-12-03,2024-12-03
1994-04-01,VIXCLS,14.51,2024-12-03,2024-12-03
1994-07-01,VIXCLS,12.52,2024-12-03,2024-12-03
1994-10-01,VIXCLS,15.27,2024-12-03,2024-12-03
1995-01-01,VIXCLS,11.99,2024-12-03,2024-12-03
1995-04-01,VIXCLS,12.19,2024-12-03,2024-12-03
1995-07-01,VIXCLS,12.47,2024-12-03,2024-12-03
1995-10-01,VIXCLS,12.9,2024-12-03,2024-12-03
1996-01-01,VIXCLS,15.4,2024-12-03,2024-12-03
1996-04-01,VIXCLS,16.37,2024-12-03,2024-12-03
1996-07-01,VIXCLS,16.78,2024-12-03,2024-12-03
1996-10-01,VIXCLS,17.21,2024-12-03,2024-12-03
1997-01-01,VIXCLS,19.92,2024-12-03,2024-12-03
1997-04-01,VIXCLS,19.92,2024-12-03,2024-12-03
1997-07-01,VIXCLS,22.45,2024-12-03,2024-12-03
1997-10-01,VIXCLS,27.09,2024-12-03,2024-12-03
1998-01-01,VIXCLS,21.32,2024-12-03,2024-12-03
1998-04-01,VIXCLS,21.53,2024-12-03,2024-12-03
1998-07-01,VIXCLS,29.75,2024-12-03,2024-12-03
1998-10-01,VIXCLS,29.54,2024-12-03,2024-12-03
1999-01-01,VIXCLS,27.25,2024-12-03,2024-12-03
1999-04-01,VIXCLS,24.4,2024-12-03,2024-12-03
1999-07-01,VIXCLS,23.32,2024-12-03,2024-12-03
1999-10-01,VIXCLS,22.66,2024-12-03,2024-12-03
2000-01-01,VIXCLS,23.15,2024-12-03,2024-12-03
2000-04-01,VIXCLS,24.92,2024-12-03,2024-12-03
2000-07-01,VIXCLS,19.17,2024-12-03,2024-12-03
2000-10-01,VIXCLS,26.02,2024-12-03,2024-12-03
2001-01-01,VIXCLS,25.73,2024-12-03,2024-12-03
2001-04-01,VIXCLS,23.92,2024-12-03,2024-12-03
2001-07-01,VIXCLS,25.38,2024-12-03,2024-12-03
2001-10-01,VIXCLS,27.91,2024-12-03,2024-12-03
2002-01-01,VIXCLS,21.36,2024-12-03,2024-12-03
2002-04-01,VIXCLS,21.64,2024-12-03,2024-12-03
2002-07-01,VIXCLS,35.07,2024-12-03,2024-12-03
2002-10-01,VIXCLS,30.73,2024-12-03,2024-12-03
2003-01-01,VIXCLS,30.02,2024-12-03,2024-12-03
2003-04-01,VIXCLS,21.53,2024-12-03,2024-12-03
2003-07-01,VIXCLS,19.32,2024-12-03,2024-12-03
2003-10-01,VIXCLS,17.43,2024-12-03,2024-12-03
2004-01-01,VIXCLS,16.66,2024-12-03,2024-12-03
2004-04-01,VIXCLS,16.21,2024-12-03,2024-12-03
2004-07-01,VIXCLS,15.44,2024-12-03,2024-12-03
2004-10-01,VIXCLS,13.65,2024-12-03,2024-12-03
2005-01-01,VIXCLS,12.79,2024-12-03,2024-12-03
2005-04-01,VIXCLS,13.41,2024-12-03,2024-12-03
2005-07-01,VIXCLS,12.25,2024-12-03,2024-12-03
2005-10-01,VIXCLS,12.78,2024-12-03,2024-12-03
2006-01-01,VIXCLS,12.04,2024-12-03,2024-12-03
2006-04-01,VIXCLS,14.53,2024-12-03,2024-12-03
2006-07-01,VIXCLS,13.61,2024-12-03,2024-12-03
2006-10-01,VIXCLS,11.03,2024-12-03,2024-12-03
2007-01-01,VIXCLS,12.56,2024-12-03,2024-12-03
2007-04-01,VIXCLS,13.73,2024-12-03,2024-12-03
2007-07-01,VIXCLS,21.59,2024-12-03,2024-12-03
2007-10-01,VIXCLS,22.03,2024-12-03,2024-12-03
2008-01-01,VIXCLS,26.12,2024-12-03,2024-12-03
2008-04-01,VIXCLS,20.67,2024-12-03,2024-12-03
2008-07-01,VIXCLS,25.07,2024-12-03,2024-12-03
2008-10-01,VIXCLS,58.6,2024-12-03,2024-12-03
2009-01-01,VIXCLS,45,2024-12-03,2024-12-03
2009-04-01,VIXCLS,33.02,2024-12-03,2024-12-03
2009-07-01,VIXCLS,25.49,2024-12-03,2024-12-03
2009-10-01,VIXCLS,23.07,2024-12-03,2024-12-03
2010-01-01,VIXCLS,20.15,2024-12-03,2024-12-03
2010-04-01,VIXCLS,26.39,2024-12-03,2024-12-03
2010-07-01,VIXCLS,24.28,2024-12-03,2024-12-03
2010-10-01,VIXCLS,19.32,2024-12-03,2024-12-03
2011-01-01,VIXCLS,18.61,2024-12-03,2024-12-03
2011-04-01,VIXCLS,17.48,2024-12-03,2024-12-03
2011-07-01,VIXCLS,30.58,2024-12-03,2024-12-03
2011-10-01,VIXCLS,29.94,2024-12-03,2024-12-03
2012-01-01,VIXCLS,18.2,2024-12-03,2024-12-03
2012-04-01,VIXCLS,20.04,2024-12-03,2024-12-03
2012-07-01,VIXCLS,16.19,2024-12-03,2024-12-03
2012-10-01,VIXCLS,16.75,2024-12-03,2024-12-03
2013-01-01,VIXCLS,13.53,2024-12-03,2024-12-03
2013-04-01,VIXCLS,14.84,2024-12-03,2024-12-03
2013-07-01,VIXCLS,14.28,2024-12-03,2024-12-03
2013-10-01,VIXCLS,14.23,2024-12-03,2024-12-03
2014-01-01,VIXCLS,14.83,2024-12-03,2024-12-03
2014-04-01,VIXCLS,12.74,2024-12-03,2024-12-03
2014-07-01,VIXCLS,13.07,2024-12-03,2024-12-03
2014-10-01,VIXCLS,16.07,2024-12-03,2024-12-03
2015-01-01,VIXCLS,16.56,2024-12-03,2024-12-03
